protein	n_obs	status	singular	messages	var_Run	var_BioReplicate	var_Mixture	sigma2	scope	level	var_Run:Channel	var_Run:ionID
Q9Z0Y1	12	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8CAQ8	450	ok	TRUE	boundary (singular) fit: see help('isSingular')	6.24991557927364e-10	0.244923527404392	9.4586071582487e-10	0.149743641507194	fraction_run	psm	0.024057727518617	2.77928943140185
Q80VP0	14	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9CZX8	57	ok	TRUE	boundary (singular) fit: see help('isSingular')	2.88601148467522e-09	0.11883074641634	0	0.586599897897639	fraction_run	psm	7.43564796904097e-10	4.66074708001903
P10711	110	ok	FALSE		0.768702295289202	0.0454198295960649	0.570159556011487	0.100109592794697	fraction_run	psm	0.0893152661597345	2.04275477294581
P61971	4	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9D6R2	373	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.0369722793121032	1.46020868394628e-08	0.304677186346446	fraction_run	psm	0.0153172841673124	4.57861582397949
P97364	50	ok	TRUE	boundary (singular) fit: see help('isSingular')	3.33164200464472e-11	0.0561925358748348	0.288531519520167	0.064486569792327	fraction_run	psm	0	1.18219633748874
Q8VBT9	64	ok	TRUE	boundary (singular) fit: see help('isSingular')	3.4349081564117	0.0196118833044926	0	0.0531184422460273	fraction_run	psm	0.05244726195766	0.40354144691535
F8VPU2	21	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
A2AJI0	99	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.34384149931814	0.139154786945955	7.58761170653409e-10	0.397875196852339	fraction_run	psm	1.267523720108e-08	0.875749350971694
Q9EPL2	7	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P06802	5	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P48774	111	ok	FALSE		0.172245974782405	0.992525914935719	0.659206889638432	0.219173857887808	fraction_run	psm	0.0296261563389901	1.12986008459015
Q9Z1Z2	159	ok	FALSE		2.82883345085826	0.037089796460628	3.91240333797225e-08	0.0928007322557611	fraction_run	psm	0.0610429100173881	0.975040444869233
Q61107	40	ok	FALSE		0.0555579072185801	0.0496369301198191	3.57890628994914e-07	0.246896354411096	fraction_run	psm	0.0312656157453236	1.65277633944628
Q9CRD0	62	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0	3.25489250692678	0.255118289482847	fraction_run	psm	0	1.28559205783347
Q9JJI8	6	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P56375	208	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.173774115796247	0.0570272755941755	0.232120689936182	fraction_run	psm	0.000506388751420143	3.57037947883743
E9Q7D5	1	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
