acquisition	design	variant	contrast	logfc_floor	n_called	tp	fp	fdp	sensitivity
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	0.3	37	33	4	0.108108108108108	0.825
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	1 - 0.667	0.3	8	8	0	0	0.2
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	1 - 0.5	0.3	28	25	3	0.107142857142857	0.625
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	1 - 0.125	0.3	40	37	3	0.075	0.925
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	0.667 - 0.5	0.3	1	1	0	0	0.025
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	0.3	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	0.3	35	33	2	0.0571428571428571	0.825
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	1 - 0.667	0.3	29	29	0	0	0.725
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	1 - 0.5	0.3	37	35	2	0.0540540540540541	0.875
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	1 - 0.125	0.3	43	40	3	0.0697674418604651	1
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	0.667 - 0.5	0.3	16	16	0	0	0.4
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	0.3	40	39	1	0.025	0.975
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	0.3	39	35	4	0.102564102564103	0.875
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.667	0.3	32	32	0	0	0.8
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.5	0.3	39	36	3	0.0769230769230769	0.9
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.125	0.3	43	40	3	0.0697674418604651	1
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.667 - 0.5	0.3	18	18	0	0	0.45
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.667 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	0.3	42	38	4	0.0952380952380952	0.95
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.667	0.3	33	33	0	0	0.825
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.5	0.3	41	36	5	0.121951219512195	0.9
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.125	0.3	44	40	4	0.0909090909090909	1
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.667 - 0.5	0.3	20	19	1	0.05	0.475
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.667 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.5 - 0.125	0.3	40	38	2	0.05	0.95
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	1 - 0.667	0.3	29	29	0	0	0.725
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	1 - 0.5	0.3	38	36	2	0.0526315789473684	0.9
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	1 - 0.125	0.3	42	39	3	0.0714285714285714	0.975
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.667 - 0.5	0.3	14	14	0	0	0.35
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.667 - 0.125	0.3	42	39	3	0.0714285714285714	0.975
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.5 - 0.125	0.3	41	38	3	0.0731707317073171	0.95
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	1 - 0.667	0.3	32	32	0	0	0.8
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	1 - 0.5	0.3	37	35	2	0.0540540540540541	0.875
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	1 - 0.125	0.3	43	40	3	0.0697674418604651	1
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	0.667 - 0.5	0.3	17	17	0	0	0.425
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	0.667 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	0.5 - 0.125	0.3	41	38	3	0.0731707317073171	0.95
